Fold,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_MCC,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_MCC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_MCC,Training_Time,Val_Accuracy_Epoch,Learning_Rate,batch_size,adaptive_method
4,0.998673112,0.998359969,0.99760254,0.997978205,0.997958161,0.998507266,0.99826447,0.997344142,0.997801258,0.997693362,0.998775091,0.998706812,0.997763172,0.998232401,0.998114207,134.1896536,0.998507261,0.01,128,FixedL2
5,0.999307287,0.999395902,0.998663139,0.999027905,0.998933093,0.999297537,0.999383086,0.998617807,0.998998593,0.998923961,0.999288762,0.999271422,0.998646679,0.998957532,0.998905119,121.8076339,0.999297559,0.01,128,FixedL2
6,0.999136547,0.998500795,0.99913058,0.998814778,0.998671423,0.999209729,0.998635342,0.999097549,0.998866096,0.998783683,0.999051683,0.998302144,0.99917896,0.998739182,0.99854118,103.9064381,0.99964875,0.01,128,FixedL2
7,0.999126791,0.998702581,0.998800609,0.998749527,0.998655975,0.999165825,0.998762972,0.998862445,0.998810998,0.998718986,0.999051683,0.998493592,0.998711611,0.998600346,0.998540776,130.5058775,0.999165833,0.01,128,FixedL2
8,0.990897161,0.985944367,0.98787529,0.98672756,0.986066504,0.99130702,0.986862038,0.98802032,0.987270483,0.986602681,0.990990991,0.986064732,0.988009523,0.986851114,0.986203408,122.1347623,0.99130702,0.01,128,FixedL2
9,0.998248712,0.998141553,0.997157513,0.997644461,0.997304743,0.998463295,0.998556948,0.997371761,0.997959066,0.997632291,0.998379959,0.998184232,0.997429299,0.997801886,0.997506649,146.1449435,0.999121904,0.01,128,FixedL2
10,0.997307212,0.996597213,0.995289425,0.99593572,0.995854781,0.997058307,0.996443903,0.99494683,0.995687998,0.995473443,0.998221906,0.997746048,0.996894394,0.997316131,0.997263212,105.0645628,0.997058332,0.01,128,FixedL2
1,0.99620959,0.997707691,0.992711814,0.995164899,0.994171609,0.996443781,0.997900431,0.993242272,0.995530316,0.994530302,0.996641378,0.997976867,0.993538373,0.99572158,0.994834833,137.9521039,0.997014523,0.01,128,MLP
2,0.9991024,0.99872354,0.99872846,0.998725846,0.998618563,0.999253633,0.998840361,0.998942012,0.998890997,0.998847786,0.99913071,0.998686979,0.99883214,0.998759366,0.998661816,115.6891522,0.999253631,0.01,128,MLP
3,0.99736086,0.997038624,0.995583908,0.996308385,0.99593329,0.997453572,0.996923974,0.995745703,0.996333472,0.996100344,0.99715505,0.996547565,0.995155178,0.995845884,0.995619547,135.1046333,0.998112142,0.01,128,MLP
4,0.998414565,0.99785893,0.997727932,0.997791151,0.997561261,0.998375554,0.997790006,0.997594366,0.997689234,0.997491237,0.998498498,0.997920755,0.997854025,0.997885611,0.997689342,139.7225056,0.998375535,0.01,128,MLP
5,0.99918533,0.998480007,0.999376781,0.998927181,0.998746062,0.999034113,0.998204642,0.999333461,0.998767145,0.998521691,0.999288762,0.998657787,0.999480717,0.999068328,0.998905786,161.0140939,0.999956071,0.01,128,MLP
6,0.998843852,0.999122355,0.997868348,0.998492268,0.998220349,0.998814594,0.998856032,0.998034513,0.998442975,0.998174985,0.998775091,0.998858294,0.997820429,0.998337009,0.998114275,131.7464514,0.999385357,0.01,128,MLP
7,0.999424365,0.999135248,0.999259687,0.999196983,0.999113791,0.999385345,0.999058915,0.999178468,0.999118466,0.999055829,0.999683894,0.999493649,0.999660403,0.999576815,0.999513429,188.7349961,0.999385357,0.01,128,MLP
8,0.998341391,0.998267479,0.997230737,0.997745707,0.997448322,0.998156035,0.998087485,0.996862425,0.99746981,0.997145633,0.998261419,0.998125207,0.997194918,0.997657273,0.997323423,159.3995793,0.998770714,0.01,128,MLP
9,0.999375585,0.999308294,0.998956579,0.999132225,0.999038713,0.999429224,0.99947083,0.998979354,0.99922477,0.999120259,0.999288762,0.99890369,0.998915693,0.998909502,0.998904973,160.8744709,0.999429226,0.01,128,MLP
