Fold,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_MCC,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_MCC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_MCC,Training_Time,Val_Accuracy_Epoch,Learning_Rate,batch_size,adaptive_method
7,0.999754577,0.999803761,0.999679198,0.99974138,0.999667068,1,1,1,1,1,0.999602544,0.999708285,0.999457701,0.999582613,0.999460971,26.4885354,1,0.01,128,Novel
8,0.999852746,0.999844977,0.999830292,0.999837595,0.999800213,1,1,1,1,1,1,1,1,1,1,25.21421123,1,0.01,128,Novel
9,0.999705493,0.999736987,0.999645368,0.99969112,0.999600613,1,1,1,1,1,0.999602544,0.999580537,0.999586093,0.999582967,0.999461014,23.56489921,1,0.01,128,Novel
10,0.998380209,0.998338459,0.998186341,0.998258605,0.997805009,0.999558109,0.99954955,0.999551167,0.999549954,0.999400082,0.998410175,0.998330551,0.998215979,0.998268628,0.997845924,24.49452448,1,0.01,128,Novel
1,0.998625565,0.998492658,0.99830372,0.998395589,0.998137312,0.999116608,0.998896792,0.999040511,0.998968334,0.998798166,0.999602544,0.999580537,0.999457701,0.999518648,0.999460998,11.66722178,0.99955833,0.01,256,Adaptive
2,0.999263695,0.999268797,0.999187831,0.999227396,0.999001294,0.999558304,0.999520154,0.99955036,0.999534824,0.999402896,1,1,1,1,1,16.86219764,0.99955833,0.01,256,Adaptive
3,0.999558217,0.999628866,0.999443668,0.999536052,0.999400743,0.999558304,0.999675325,0.999404762,0.999539583,0.999401291,0.999602544,0.999708285,0.999457701,0.999582613,0.999460971,16.84169912,1,0.01,256,Adaptive
4,0.998232869,0.998559537,0.997741639,0.998146342,0.997606552,0.999558304,0.999695493,0.999362245,0.999528369,0.999395808,0.999205087,0.999417249,0.998915401,0.999164806,0.998922285,19.61984229,1,0.01,256,Adaptive
5,0.999901826,0.999896287,0.999897541,0.999896893,0.999866878,0.999558304,0.99953271,0.999360614,0.999446034,0.999399057,1,1,1,1,1,17.42271757,0.99955833,0.01,256,Adaptive
6,0.99838013,0.998306574,0.998109376,0.998206021,0.997800987,0.999116608,0.999103943,0.998990629,0.999045965,0.998812417,0.999205087,0.999162479,0.999172185,0.999165943,0.998922457,10.67412639,0.99955833,0.01,256,Adaptive
7,0.999852746,0.999860273,0.999797462,0.999828814,0.999800235,1,1,1,1,1,1,1,1,1,1,15.61130428,1,0.01,256,Adaptive
8,0.998331125,0.998299294,0.99820935,0.998249191,0.997738602,0.999558109,0.999518304,0.999553571,0.999535506,0.999401966,0.998012719,0.997916667,0.997930464,0.997914906,0.997309361,13.85946321,0.999558091,0.01,256,Adaptive
9,0.999901831,0.999866239,0.999912098,0.999889147,0.999866876,0.999558109,0.999394673,0.999683143,0.999538441,0.999399219,1,1,1,1,1,13.31360745,1,0.01,256,Adaptive
